Año;Mes;Glosa;Índice;Variación Mensual (%)
2012;5;IPC General menos alimentos y energía;65,84;0
2012;5;No Transables;61,7;0,1
2012;5;Servicios;61,45;0,8
2012;5;Transables;62,05;0
2012;6;Alimentos;49,01;-0,3
2012;6;Bienes;62,76;-0,7
2012;6;Energía;62,06;-2,9
2012;6;Frutas y verduras frescas;38,77;-0,2
2012;6;IPC General menos alimentos y energía;65,91;0,1
2012;6;No Transables;61,95;0,4
2012;6;Servicios;61,57;0,2
2012;6;Transables;61,55;-0,8
2012;7;Alimentos;49,45;0,9
2012;7;Bienes;62,57;-0,3
2012;7;Energía;60,57;-2,4
2012;7;Frutas y verduras frescas;40,32;4
2012;7;IPC General menos alimentos y energía;65,98;0,1
2012;7;No Transables;62,26;0,5
2012;7;Servicios;61,82;0,4
2012;7;Transables;61,24;-0,5
2012;8;Alimentos;49,99;1,1
2012;8;Bienes;63,07;0,8
2012;8;Energía;62,39;3
2012;8;Frutas y verduras frescas;41,77;3,6
2012;8;IPC General menos alimentos y energía;65,72;-0,4
2012;8;No Transables;62,01;-0,4
2012;8;Servicios;61,57;-0,4
2012;8;Transables;61,73;0,8
2012;9;Alimentos;51,14;2,3
2012;9;Bienes;64,02;1,5
2012;9;Energía;62,27;-0,2
2012;9;Frutas y verduras frescas;44,86;7,4
2012;9;IPC General menos alimentos y energía;66,05;0,5
2012;9;No Transables;62,32;0,5
2012;9;Servicios;61,51;-0,1
2012;9;Transables;62,35;1
2012;10;Alimentos;52,26;2,2
2012;10;Bienes;64,4;0,6
2012;10;Energía;62,95;1,1
2012;10;Frutas y verduras frescas;49,03;9,3
2012;10;IPC General menos alimentos y energía;66,05;0
2012;10;No Transables;62,51;0,3
2012;10;Servicios;61,82;0,5
2012;10;Transables;62,85;0,8
2012;11;Alimentos;51,89;-0,7
2012;11;Bienes;63,88;-0,8
2012;11;Energía;60,94;-3,2
2012;11;Frutas y verduras frescas;47,71;-2,7
2012;11;IPC General menos alimentos y energía;66,05;0
2012;11;No Transables;62,64;0,2
2012;11;Servicios;61,82;0
2012;11;Transables;62,28;-0,9
2012;12;Alimentos;51,27;-1,2
2012;12;Bienes;63,37;-0,8
2012;12;Energía;61;0,1
2012;12;Frutas y verduras frescas;44,13;-7,5
2012;12;IPC General menos alimentos y energía;66,25;0,3
2012;12;No Transables;63,14;0,8
2012;12;Servicios;62,31;0,8
2012;12;Transables;61,84;-0,7
2013;1;Alimentos;51,32;0,1
2013;1;Bienes;63,56;0,3
2013;1;Energía;62,1;1,8
2013;1;Frutas y verduras frescas;43,51;-1,4
2013;1;IPC General menos alimentos y energía;66,25;0
2013;1;No Transables;63,08;-0,1
2013;1;Servicios;62,31;0
2013;1;Transables;62,09;0,4
2013;2;Alimentos;50,96;-0,7
2013;2;Bienes;63,56;0
2013;2;Energía;63,28;1,9
2013;2;Frutas y verduras frescas;41,81;-3,9
2013;2;IPC General menos alimentos y energía;66,32;0,1
2013;2;No Transables;63,33;0,4
2013;2;Servicios;62,5;0,3
2013;2;Transables;62,03;-0,1
2013;3;Alimentos;51,32;0,7
2013;3;Bienes;63,88;0,5
2013;3;Energía;63,66;0,6
2013;3;Frutas y verduras frescas;42,81;2,4
2013;3;IPC General menos alimentos y energía;66,52;0,3
2013;3;No Transables;63,65;0,5
2013;3;Servicios;62,69;0,3
2013;3;Transables;62,22;0,3
2013;4;Alimentos;51,42;0,2
2013;4;Bienes;63,56;-0,5
2013;4;Energía;60,86;-4,4
2013;4;Frutas y verduras frescas;42,98;0,4
2013;4;IPC General menos alimentos y energía;66,45;-0,1
2013;4;No Transables;63,65;0
2013;4;Servicios;62,38;-0,5
2013;4;Transables;61,66;-0,9
2013;5;Alimentos;51,63;0,4
